,age,ed,employ,income,debtinc,default,AgeCategory
102,33,1,8,27,5.8,0.0,1
103,42,2,21,121,3.1,0.0,0
104,41,2,22,75,23.6,0.0,0
105,40,1,8,28,3.6,0.0,0
106,53,1,9,50,11.2,1.0,0
107,28,1,4,26,13.5,0.0,1
108,36,2,12,60,7.9,0.0,0
109,34,2,9,45,10.1,0.0,1
110,45,3,2,39,4.9,0.0,0
111,38,1,6,41,8.9,0.0,0
112,21,3,0,24,7.7,0.0,1
113,42,1,12,51,21.4,0.0,0
114,52,1,16,64,8.6,0.0,0
115,25,2,4,33,5.2,0.0,1
116,34,2,9,65,6.2,0.0,1
117,40,2,15,73,3.4,0.0,0
118,31,2,0,27,12.8,1.0,1
119,25,1,1,20,6.7,1.0,1
120,45,1,12,37,9.5,0.0,0
121,23,1,3,19,8.4,1.0,1
122,34,4,6,27,35.3,1.0,1
123,31,1,2,22,12.7,1.0,1
124,28,1,5,22,2.8,0.0,1
125,41,1,7,43,4.4,0.0,0
126,39,2,7,68,13.0,1.0,0
127,29,2,9,36,1.4,0.0,1
128,21,1,5,25,9.0,0.0,1
129,41,2,19,68,5.8,0.0,0
130,26,4,1,27,2.9,0.0,1
131,33,1,5,18,12.9,0.0,1
132,45,2,18,35,17.4,0.0,0
133,39,1,17,60,13.7,0.0,0
134,24,1,7,21,6.3,0.0,1
135,29,2,6,57,2.2,0.0,1
136,27,2,1,23,12.4,0.0,1
137,40,1,13,28,5.9,0.0,0
138,29,1,8,24,6.7,0.0,1
139,29,2,4,37,6.6,1.0,1
140,24,1,0,16,16.0,1.0,1
141,27,1,9,45,17.8,1.0,1
142,41,3,16,135,4.4,0.0,0
143,31,1,11,25,9.1,0.0,1
144,41,1,16,68,5.4,0.0,0
145,42,2,5,41,3.4,0.0,0
146,28,4,1,26,12.4,0.0,1
147,30,4,2,25,10.0,0.0,1
148,30,1,11,33,8.4,0.0,1
149,31,1,8,44,8.0,0.0,1
150,45,2,15,51,18.1,0.0,0
151,43,1,13,76,6.1,1.0,0
152,36,1,4,23,16.3,0.0,0
153,28,1,8,30,7.2,0.0,1
154,27,2,3,33,13.2,0.0,1
155,36,3,13,39,19.2,0.0,0
156,33,1,12,32,11.3,0.0,1
157,54,1,9,28,14.8,1.0,0
158,33,1,9,29,13.8,1.0,1
159,31,1,9,26,4.5,0.0,1
160,21,1,4,26,8.9,0.0,1
161,28,3,5,44,8.7,0.0,1
162,31,2,2,26,6.8,1.0,1
163,32,1,8,26,4.1,0.0,1
164,35,2,1,24,12.5,1.0,0
165,40,2,13,102,18.9,1.0,0
166,22,1,4,24,15.6,1.0,1
167,39,1,4,38,6.5,0.0,0
168,41,4,14,44,1.7,0.0,0
169,34,1,16,79,4.0,0.0,1
170,29,1,7,22,9.7,0.0,1
171,31,1,4,28,11.3,0.0,1
172,32,1,1,20,4.8,1.0,1
173,32,1,14,73,8.8,0.0,1
174,33,1,6,21,7.5,0.0,1
175,26,1,6,22,10.3,0.0,1
176,21,1,1,18,17.3,0.0,1
177,28,2,7,34,7.0,0.0,1
178,37,1,13,24,8.9,0.0,0
179,33,2,2,35,22.9,1.0,1
180,39,1,12,46,5.0,0.0,0
181,40,2,8,57,5.6,0.0,0
182,45,3,16,80,3.0,0.0,0
183,27,1,10,34,6.5,0.0,1
184,28,4,0,29,24.2,0.0,1
185,39,1,13,27,8.0,0.0,0
186,40,1,14,43,15.0,1.0,0
187,27,1,11,56,16.9,0.0,1
188,36,1,1,16,9.3,0.0,0
189,55,1,19,78,15.6,0.0,0
190,27,2,4,22,13.2,1.0,1
191,30,1,1,17,11.0,0.0,1
192,36,1,10,28,11.2,1.0,0
193,31,1,1,21,2.5,1.0,1
194,33,2,13,40,7.2,0.0,1
195,30,1,4,33,4.2,0.0,1
196,24,1,1,18,5.9,1.0,1
197,33,4,9,28,4.3,0.0,1
198,50,1,8,47,6.9,0.0,0
199,31,2,6,32,23.1,1.0,1
200,28,1,3,19,4.1,0.0,1
201,44,3,8,88,6.1,1.0,0
202,48,4,3,45,9.8,0.0,0
203,36,2,0,30,9.7,0.0,0
204,29,3,7,63,5.5,0.0,1
205,40,3,17,116,6.0,0.0,0
206,33,1,7,26,6.0,0.0,1
207,26,2,6,30,1.0,0.0,1
208,36,1,14,81,7.2,0.0,0
209,26,2,6,35,1.9,0.0,1
210,40,3,16,116,12.1,0.0,0
211,44,1,5,48,9.0,1.0,0
212,29,3,1,30,4.5,0.0,1
213,35,3,5,37,5.4,1.0,0
214,34,1,16,75,10.4,0.0,1
215,34,3,12,47,6.7,0.0,1
216,46,1,14,35,10.2,0.0,0
217,41,2,21,145,12.2,0.0,0
218,27,2,7,30,4.0,1.0,1
219,27,4,0,70,8.0,1.0,1
220,28,1,11,24,2.4,0.0,1
221,48,3,0,19,10.8,0.0,0
222,48,3,17,113,12.0,0.0,0
223,29,3,5,70,19.9,1.0,1
224,43,2,9,60,20.4,1.0,0
225,23,1,5,17,7.9,0.0,1
226,29,2,10,44,18.1,0.0,1
227,40,4,5,75,1.9,0.0,0
228,22,2,0,20,5.6,0.0,1
229,23,1,7,22,14.4,0.0,1
230,46,3,9,60,15.3,0.0,0
231,55,1,3,40,8.0,1.0,0
232,38,2,8,38,0.6,0.0,0
233,35,2,5,33,2.8,0.0,0
234,30,1,11,27,0.9,0.0,1
235,24,1,7,18,6.5,0.0,1
236,26,2,4,28,9.5,0.0,1
237,32,2,2,15,9.1,1.0,1
238,37,2,11,75,3.5,0.0,0
239,39,1,6,42,19.9,1.0,0
240,30,2,4,21,18.3,0.0,1
241,30,1,10,39,9.5,0.0,1
242,32,2,7,32,4.3,0.0,1
243,54,3,21,118,14.4,0.0,0
244,27,3,3,35,13.3,0.0,1
245,31,1,12,31,23.7,0.0,1
246,39,1,15,39,1.8,0.0,0
247,31,1,5,25,14.1,0.0,1
248,35,1,15,40,18.5,0.0,0
249,35,2,10,98,13.3,0.0,0
250,46,2,22,144,11.1,0.0,0
251,33,1,13,52,21.3,1.0,1
252,35,2,13,105,1.9,0.0,0
253,35,2,1,21,7.9,0.0,0
254,38,1,5,21,9.0,0.0,0
255,41,1,19,96,7.8,0.0,0
256,38,1,18,44,4.5,0.0,0
257,34,3,2,39,13.2,0.0,1
258,51,3,16,82,4.4,0.0,0
259,34,2,10,33,9.5,0.0,1
260,47,1,15,30,24.5,0.0,0
261,34,2,8,78,5.4,0.0,1
262,27,2,8,18,11.9,0.0,1
263,52,1,9,24,19.2,1.0,0
264,39,1,9,35,5.0,0.0,0
265,33,1,7,22,6.4,0.0,1
266,34,1,0,21,7.2,0.0,1
267,31,3,9,59,14.6,1.0,1
268,28,1,2,16,15.2,0.0,1
269,39,1,19,45,3.7,0.0,0
270,51,2,22,120,7.6,0.0,0
271,22,1,4,16,1.2,0.0,1
272,27,3,6,26,10.4,0.0,1
273,32,1,16,38,21.0,0.0,1
274,28,2,6,38,7.2,0.0,1
275,27,2,1,20,10.3,1.0,1
276,26,2,2,24,13.6,1.0,1
277,32,1,14,36,2.4,0.0,1
278,30,1,0,17,3.7,1.0,1
279,39,1,13,38,8.9,0.0,0
280,31,1,11,28,4.8,1.0,1
281,34,1,15,39,24.7,1.0,1
282,31,1,8,41,12.6,0.0,1
283,29,2,1,25,10.4,0.0,1
284,29,1,9,25,13.9,0.0,1
285,35,2,9,30,7.6,0.0,0
286,29,1,11,32,6.0,0.0,1
287,38,2,2,22,22.7,1.0,0
288,35,1,16,36,3.4,0.0,0
289,29,1,11,36,6.1,0.0,1
290,23,2,3,34,4.4,0.0,1
291,33,4,9,32,5.5,0.0,1
292,51,2,19,159,2.8,0.0,0
293,24,1,4,21,2.6,0.0,1
294,31,1,10,49,9.8,1.0,1
295,45,1,10,52,5.4,0.0,0
296,29,1,3,17,9.0,0.0,1
297,34,1,0,20,17.1,0.0,1
298,25,2,4,27,5.0,1.0,1
299,37,1,20,56,1.9,0.0,0
300,47,1,29,129,25.3,1.0,0
301,43,2,6,54,9.6,0.0,0
302,47,1,22,81,5.5,0.0,0
303,24,1,6,21,5.2,0.0,1
304,27,3,5,75,6.3,0.0,1
305,25,1,9,18,1.2,0.0,1
306,36,3,11,44,14.7,0.0,0
307,39,1,16,57,19.4,0.0,0
308,26,1,10,25,7.1,0.0,1
309,41,1,4,25,10.1,0.0,0
310,39,1,19,60,27.1,1.0,0
311,37,1,18,54,12.1,0.0,0
312,29,1,2,14,14.4,1.0,1
313,42,1,6,31,11.6,0.0,0
314,31,4,1,29,11.1,0.0,1
315,36,1,4,17,17.3,0.0,0
316,39,1,16,52,20.0,0.0,0
317,23,4,0,23,6.7,0.0,1
318,39,1,4,33,7.0,0.0,0
319,27,3,4,40,3.1,1.0,1
320,24,1,8,24,5.0,0.0,1
321,27,3,3,45,11.0,1.0,1
322,41,1,16,49,1.6,0.0,0
323,38,1,0,23,8.1,1.0,0
324,40,2,5,35,16.4,1.0,0
325,54,1,25,120,26.5,1.0,0
326,40,1,12,89,17.4,0.0,0
327,40,1,2,32,3.7,0.0,0
328,29,1,1,31,8.0,0.0,1
329,30,1,8,23,12.0,0.0,1
330,29,1,1,18,1.1,0.0,1
331,29,3,3,50,2.4,1.0,1
332,28,4,2,41,2.5,1.0,1
333,28,4,0,38,10.4,0.0,1
334,39,2,16,89,14.3,0.0,0
335,32,1,11,53,3.3,0.0,1
336,36,2,7,43,15.4,0.0,0
337,39,1,20,39,8.2,0.0,0
338,28,3,6,47,19.8,1.0,1
339,28,1,4,28,14.2,1.0,1
340,46,1,6,31,12.2,0.0,0
341,30,2,4,15,6.5,0.0,1
342,39,2,15,32,4.9,0.0,0
343,40,3,5,220,16.0,1.0,0
344,44,2,18,74,13.4,0.0,0
345,30,1,0,19,16.6,1.0,1
346,24,2,3,19,4.3,0.0,1
347,32,1,10,32,11.3,0.0,1
348,29,2,3,15,2.6,0.0,1
349,40,2,2,36,3.8,0.0,0
350,41,2,8,43,0.7,0.0,0
351,22,1,1,17,18.6,0.0,1
352,38,1,10,34,1.2,0.0,0
353,37,2,6,62,8.5,0.0,0
354,41,3,18,71,15.7,1.0,0
355,41,3,7,56,14.5,1.0,0
356,39,1,2,22,23.1,1.0,0
357,24,2,0,15,16.1,1.0,1
358,32,3,9,51,23.0,0.0,1
359,21,3,0,26,7.7,0.0,1
360,29,1,13,27,2.3,0.0,1
361,35,2,14,82,0.8,0.0,0
362,29,1,6,21,18.1,0.0,1
363,41,2,2,30,6.7,0.0,0
364,37,1,0,18,12.9,1.0,0
365,32,2,3,47,1.9,0.0,1
366,36,5,5,20,8.1,0.0,0
367,39,2,18,44,2.1,0.0,0
368,36,1,18,67,11.2,0.0,0
369,46,3,22,99,2.3,0.0,0
370,34,1,13,51,9.6,0.0,1
371,27,1,7,26,9.1,0.0,1
372,43,1,8,45,3.3,0.0,0
373,33,1,14,72,41.3,1.0,1
374,39,2,20,101,1.4,0.0,0
375,29,1,1,17,2.5,0.0,1
376,34,4,7,40,6.4,0.0,1
377,26,1,1,21,4.9,0.0,1
378,31,1,15,60,4.8,0.0,1
379,26,1,10,24,2.7,0.0,1
380,28,1,12,45,7.7,0.0,1
381,48,1,13,50,30.8,1.0,0
382,39,2,2,46,16.0,1.0,0
383,37,1,3,25,3.7,0.0,0
384,52,5,9,70,9.4,1.0,0
385,48,1,3,27,21.3,0.0,0
386,26,1,7,22,5.1,0.0,1
387,46,5,15,126,3.1,0.0,0
388,31,1,7,23,4.9,0.0,1
389,34,1,13,56,6.1,0.0,1
390,40,1,22,95,3.6,0.0,0
391,24,3,2,16,6.4,1.0,1
392,33,1,2,44,3.1,0.0,1
393,53,4,5,78,17.3,1.0,0
394,47,3,9,52,20.1,1.0,0
395,35,1,5,32,13.0,0.0,0
396,34,1,14,28,17.0,0.0,1
397,49,1,11,39,10.1,0.0,0
398,26,2,0,28,9.3,0.0,1
399,23,1,2,16,9.6,1.0,1
400,23,2,0,21,8.7,0.0,1
401,38,2,4,56,1.6,0.0,0
402,28,2,5,37,8.3,0.0,1
403,30,3,0,65,29.7,1.0,1
404,34,1,18,34,15.4,0.0,1
405,50,2,16,71,11.1,0.0,0
406,29,1,12,40,6.7,0.0,1
407,42,3,0,64,6.6,0.0,0
408,31,1,13,27,5.0,0.0,1
409,39,1,10,31,4.8,0.0,0
410,45,2,21,132,3.0,0.0,0
411,45,1,22,91,11.7,0.0,0
412,36,1,14,53,5.7,0.0,0
413,25,4,0,24,12.1,1.0,1
414,29,2,1,29,21.2,1.0,1
415,30,2,8,56,6.4,0.0,1
416,31,1,1,24,4.5,0.0,1
417,43,1,4,29,4.6,0.0,0
418,32,2,11,57,23.8,1.0,1
419,47,1,19,50,30.1,0.0,0
420,46,1,1,21,14.8,1.0,0
421,43,2,16,83,4.1,0.0,0
422,48,1,3,24,7.0,0.0,0
423,30,3,8,61,2.8,0.0,1
424,23,4,0,32,18.4,1.0,1
425,36,4,8,32,1.6,0.0,0
426,20,3,0,17,2.3,0.0,1
427,43,1,16,89,0.4,0.0,0
428,23,1,2,25,4.5,1.0,1
429,41,1,21,76,20.5,0.0,0
430,34,1,12,68,25.1,1.0,1
431,50,1,11,36,4.8,0.0,0
432,40,1,9,64,6.6,0.0,0
433,29,2,0,22,12.9,1.0,1
434,39,2,9,56,18.7,0.0,0
435,24,2,1,42,5.7,0.0,1
436,27,1,0,16,1.1,0.0,1
437,40,3,18,157,6.6,0.0,0
438,32,2,8,45,3.7,0.0,1
439,39,2,16,53,3.7,0.0,0
440,40,1,22,100,14.6,0.0,0
441,32,1,10,42,9.1,0.0,1
442,39,1,23,75,18.9,0.0,0
443,24,1,3,21,28.9,1.0,1
444,43,4,18,446,6.5,1.0,0
445,56,1,11,59,15.0,0.0,0
446,32,3,5,23,4.5,0.0,1
447,42,1,7,25,10.2,0.0,0
448,46,3,3,43,13.2,1.0,0
449,31,1,2,22,16.4,1.0,1
450,43,1,25,242,2.6,0.0,0
451,28,2,6,22,11.5,0.0,1
452,39,3,11,39,12.9,0.0,0
453,39,1,0,39,7.9,0.0,0
454,37,4,1,33,16.1,1.0,0
455,30,1,0,17,12.0,0.0,1
456,37,5,9,177,5.9,0.0,0
457,22,1,4,14,17.5,0.0,1
458,50,1,1,26,14.3,0.0,0
459,30,1,10,19,4.4,0.0,1
460,39,1,8,21,4.0,0.0,0
461,21,2,0,21,12.5,1.0,1
462,31,3,9,28,2.6,0.0,1
463,31,2,9,30,5.8,0.0,1
464,48,1,0,30,22.3,0.0,0
465,28,1,4,16,23.8,0.0,1
466,47,3,16,221,17.6,1.0,0
467,27,2,6,34,4.4,0.0,1
468,29,2,6,65,18.4,0.0,1
469,21,2,2,20,4.5,1.0,1
470,29,1,7,20,19.8,1.0,1
471,24,4,0,29,6.6,1.0,1
472,44,1,12,31,9.7,0.0,0
473,22,1,1,18,4.4,0.0,1
474,38,2,13,59,2.4,0.0,0
475,52,2,12,76,7.7,0.0,0
476,25,1,3,18,16.3,1.0,1
477,25,1,5,22,10.9,0.0,1
478,51,2,27,166,11.5,0.0,0
479,38,1,21,58,16.5,0.0,0
480,44,1,9,33,5.2,0.0,0
481,24,2,2,26,9.7,1.0,1
482,34,1,5,33,7.3,0.0,1
483,25,2,6,26,4.5,0.0,1
484,45,3,5,94,10.5,1.0,0
485,34,2,4,25,5.8,0.0,1
486,27,4,2,23,5.7,1.0,1
487,33,2,10,57,20.9,1.0,1
488,35,2,0,22,15.0,1.0,0
489,50,2,15,60,1.1,0.0,0
490,33,1,13,42,3.6,0.0,1
491,41,3,13,91,25.2,1.0,0
492,28,1,0,28,33.3,1.0,1
493,38,3,12,63,16.0,1.0,0
494,25,1,3,16,17.8,1.0,1
495,47,2,4,33,7.1,1.0,0
496,30,2,12,98,7.2,0.0,1
497,44,2,12,86,13.0,0.0,0
498,25,1,0,18,18.9,1.0,1
499,41,2,6,36,19.5,1.0,0
500,22,3,0,18,7.7,0.0,1
501,35,2,3,40,17.2,1.0,0
502,42,5,6,190,7.8,0.0,0
503,38,1,3,23,14.7,0.0,0
504,23,2,1,18,18.7,1.0,1
505,28,3,2,30,19.9,0.0,1
506,52,1,19,89,4.7,0.0,0
507,25,1,9,20,3.5,0.0,1
508,28,2,1,16,14.7,0.0,1
509,43,1,19,79,7.5,0.0,0
510,24,2,3,24,19.1,0.0,1
511,34,3,13,52,9.2,0.0,1
512,29,2,6,25,4.2,0.0,1
513,31,1,6,21,8.3,0.0,1
514,42,2,14,48,8.6,1.0,0
515,49,2,11,51,15.0,0.0,0
516,39,1,22,73,14.3,0.0,0
517,45,3,0,22,4.2,0.0,0
518,41,1,7,32,2.9,0.0,0
519,29,2,9,46,1.6,0.0,1
520,35,3,7,38,15.1,0.0,0
521,27,2,5,25,6.8,0.0,1
522,28,1,4,19,4.1,0.0,1
523,48,1,17,66,3.2,0.0,0
524,24,1,2,18,6.0,0.0,1
525,31,1,6,33,4.2,0.0,1
526,43,1,10,69,6.4,0.0,0
527,42,1,3,24,10.6,0.0,0
528,51,2,31,249,7.8,0.0,0
529,22,1,4,19,23.1,1.0,1
530,37,1,6,31,11.7,1.0,0
531,22,3,1,25,13.8,1.0,1
532,49,2,2,20,16.9,1.0,0
533,29,1,9,30,8.2,0.0,1
534,42,1,2,30,9.7,0.0,0
535,34,1,15,67,13.2,0.0,1
536,34,2,9,27,1.7,0.0,1
537,32,2,5,43,15.0,1.0,1
538,42,2,18,66,9.6,0.0,0
539,24,1,3,14,16.1,1.0,1
540,34,1,16,48,7.6,0.0,1
541,26,1,10,32,4.7,0.0,1
542,30,2,12,68,20.1,0.0,1
543,32,1,4,16,28.5,1.0,1
544,38,3,13,25,5.7,0.0,0
545,43,2,10,37,8.5,0.0,0
546,31,2,9,53,13.5,0.0,1
547,37,4,10,123,17.3,0.0,0
548,37,2,4,20,21.7,1.0,0
549,41,3,12,86,26.5,1.0,0
550,32,1,0,20,3.0,1.0,1
551,22,2,0,35,9.0,1.0,1
552,32,2,12,63,18.2,0.0,1
553,47,2,17,41,9.5,0.0,0
554,40,1,21,46,6.2,0.0,0
555,31,1,8,22,6.7,0.0,1
556,34,3,7,27,2.2,0.0,1
557,52,4,13,234,7.7,0.0,0
558,28,1,2,17,2.5,1.0,1
559,38,3,15,63,13.4,0.0,0
560,33,2,10,26,3.1,0.0,1
561,39,2,9,32,6.6,0.0,0
562,47,3,23,115,4.0,0.0,0
563,36,2,11,49,1.3,0.0,0
564,29,3,7,84,13.6,1.0,1
565,48,4,14,59,16.5,1.0,0
566,38,3,12,64,5.8,0.0,0
567,46,2,9,15,4.3,0.0,0
568,27,3,5,42,19.9,1.0,1
569,54,1,18,114,8.5,0.0,0
570,27,4,0,25,12.7,1.0,1
571,23,1,1,17,1.6,0.0,1
572,41,1,23,91,13.7,0.0,0
573,24,1,3,15,11.3,1.0,1
574,28,1,9,22,27.7,1.0,1
575,26,1,0,14,10.5,0.0,1
576,24,1,8,17,5.6,1.0,1
577,49,2,22,79,7.3,0.0,0
578,28,2,3,36,8.6,0.0,1
579,38,1,6,18,13.0,0.0,0
580,33,2,2,37,4.5,0.0,1
581,26,1,8,25,4.7,0.0,1
582,36,1,9,40,9.8,0.0,0
583,37,3,16,50,36.6,1.0,0
584,25,4,0,18,33.4,1.0,1
585,29,1,9,33,4.8,0.0,1
586,27,2,8,38,6.9,0.0,1
587,45,1,17,62,15.0,0.0,0
588,37,1,9,57,5.5,0.0,0
589,29,2,3,26,6.1,1.0,1
590,51,1,10,44,13.2,1.0,0
591,22,3,0,23,8.4,1.0,1
592,30,4,7,30,15.7,0.0,1
593,31,1,7,20,12.3,0.0,1
594,28,1,2,18,14.8,1.0,1
595,35,1,10,39,5.7,0.0,0
596,25,4,1,34,8.5,1.0,1
597,32,2,5,28,14.8,1.0,1
598,33,1,2,24,9.6,0.0,1
599,28,2,3,41,25.1,1.0,1
600,46,3,4,73,5.4,0.0,0
601,41,1,24,83,14.0,0.0,0
602,42,2,11,73,6.8,0.0,0
603,41,4,9,47,5.0,0.0,0
604,26,1,3,29,25.7,1.0,1
605,47,1,27,113,9.2,0.0,0
606,29,1,1,18,25.6,1.0,1
607,34,1,3,36,4.7,0.0,1
608,36,1,7,43,6.2,0.0,0
609,38,2,7,64,3.0,0.0,0
610,41,2,4,26,19.2,1.0,0
611,46,1,9,31,13.8,0.0,0
612,40,3,3,55,16.5,1.0,0
613,44,2,17,129,2.5,0.0,0
614,35,3,10,39,10.4,0.0,0
615,36,1,20,60,5.4,0.0,0
616,28,2,0,30,4.8,1.0,1
617,29,2,6,18,5.1,1.0,1
618,23,2,3,22,11.4,1.0,1
619,41,2,7,63,15.4,0.0,0
620,25,1,1,19,6.9,0.0,1
621,45,2,2,29,5.4,0.0,0
622,48,2,30,148,7.2,0.0,0
623,38,1,18,45,7.0,0.0,0
624,29,1,6,46,5.4,0.0,1
625,42,4,15,186,3.6,0.0,0
626,31,1,11,47,10.9,0.0,1
627,40,1,3,23,6.9,0.0,0
628,26,1,2,21,19.8,0.0,1
629,25,1,6,22,20.2,0.0,1
630,53,4,7,61,7.9,0.0,0
631,50,3,18,102,14.1,0.0,0
632,47,1,31,136,23.1,1.0,0
633,23,1,1,21,8.4,1.0,1
634,37,3,12,83,4.1,0.0,0
635,41,1,24,100,11.5,0.0,0
636,28,2,0,29,13.3,1.0,1
637,31,1,7,41,30.7,1.0,1
638,41,2,6,19,6.3,0.0,0
639,36,1,7,40,9.9,0.0,0
640,41,1,1,19,4.4,0.0,0
641,53,2,16,44,5.6,0.0,0
642,31,2,6,25,11.5,0.0,1
643,28,2,5,25,2.9,0.0,1
644,48,1,28,70,12.0,0.0,0
645,23,2,0,42,3.9,1.0,1
646,31,1,11,34,6.8,0.0,1
647,27,1,6,43,4.9,0.0,1
648,43,1,11,37,1.3,0.0,0
649,29,2,5,28,18.7,0.0,1
650,53,1,6,27,6.4,1.0,0
651,38,1,4,19,13.6,0.0,0
652,30,1,12,38,8.5,0.0,1
653,28,3,2,20,9.4,1.0,1
654,36,1,11,33,32.5,0.0,0
655,48,1,15,60,2.1,0.0,0
656,31,1,12,24,6.6,0.0,1
657,35,1,16,57,10.5,0.0,0
658,50,1,4,23,12.5,0.0,0
659,42,2,12,55,15.0,0.0,0
660,40,1,2,28,7.1,0.0,0
661,37,2,0,31,0.9,1.0,0
662,31,3,6,54,2.8,0.0,1
663,38,1,11,35,8.0,0.0,0
664,35,1,15,77,10.6,0.0,0
665,44,1,24,101,5.6,0.0,0
666,44,2,21,113,13.2,0.0,0
667,33,1,0,23,0.9,0.0,1
668,35,1,7,29,4.9,0.0,0
669,36,3,10,43,13.0,0.0,0
670,23,2,3,24,6.3,0.0,1
671,27,1,0,18,12.8,0.0,1
672,34,1,6,20,1.2,0.0,1
673,35,1,0,34,11.1,1.0,0
674,24,2,4,20,3.7,0.0,1
675,48,1,30,101,6.4,0.0,0
676,26,2,8,40,11.8,0.0,1
677,40,1,6,36,2.1,1.0,0
678,34,1,9,48,9.3,0.0,1
679,35,1,17,42,3.0,0.0,0
680,30,1,7,33,25.4,1.0,1
681,20,1,4,14,9.7,1.0,1
682,36,4,1,30,11.5,0.0,0
683,21,1,1,16,6.3,0.0,1
684,34,1,18,53,10.5,0.0,1
685,35,1,7,39,16.1,1.0,0
686,35,3,1,20,7.9,0.0,0
687,34,1,10,33,10.3,1.0,1
688,33,1,12,68,10.8,0.0,1
689,30,1,4,18,10.7,0.0,1
690,24,2,0,16,7.3,0.0,1
691,47,1,31,253,7.2,0.0,0
692,53,1,0,27,28.9,1.0,0
693,22,3,0,20,4.7,0.0,1
694,48,2,6,66,12.1,0.0,0
695,36,2,6,27,4.6,1.0,0
696,29,2,6,21,11.5,0.0,1
